From,To,Volume,Cost,Var,prob
1,854,0.0,0.780000019,0.008708259,1.0
1,870,0.0,1.380000019,0.22697898,1.0
2,893,0.0,0.420000029,0.024631374,1.0
2,934,0.0,1.320000076,0.039863229,1.0
2,938,14.0,0.420000029,0.009603798,1.0
3,909,1667.0,0.6,0.006562894,1.0
3,911,0.0,2.040000153,0.629022423,1.0
3,923,0.0,1.320000076,0.067352357,0.5571773421551036
3,929,0.0,1.500000095,0.050830444,1.0
4,902,0.0,1.680000114,0.249764736,1.0
4,917,415.8849084,0.54000001,0.011694576,1.0
4,919,0.0,0.9,0.097079712,1.0
4,920,194.1150916,0.6,0.006101163,1.0
4,932,0.0,1.080000019,0.151973914,1.0
5,1009,603.0,0.6,0.003146952,1.0
5,1010,0.0,2.280000114,0.111396121,1.0
5,1029,67.0,0.840000057,0.03221659,0.8488713367609544
6,992,0.0,0.420000029,0.009493211,1.0
6,1008,0.0,1.620000076,0.196636308,1.0
6,1018,150.0,0.660000038,0.008869438,1.0
7,970,309.1543002,0.960000038,0.025669046,1.0
7,971,81.84569978,0.780000019,0.000779166,1.0
7,972,0.0,0.720000029,0.029211762,1.0
7,973,194.0,0.9,0.083881871,1.0
7,974,137.0,1.080000019,0.004234726,1.0
8,996,142.0,0.54000001,0.038766431,1.0
8,1012,222.0,0.780000019,0.046674746,1.0
9,840,122.0,0.360000014,0.019839947,1.0
10,535,94.0,1.040000025,0.000996326,1.0
10,839,36.0,1.520000076,0.000207666,1.0
11,166,669.0,1.560000102,0.038257902,1.0
11,200,360.0,1.560000102,0.166285643,1.0
12,167,388.0,1.880000051,0.462795175,1.0
12,199,99.0,1.2,0.00343345,1.0
13,170,393.0,0.840000025,0.004586204,1.0
14,169,163.0026518,2.280000051,0.299064958,1.0
14,191,112.1121299,2.280000051,0.60104956,1.0
14,197,470.8852182,1.120000076,0.190273557,1.0
15,171,317.0,0.680000051,0.02650017,1.0
15,189,77.0,0.24000001,0.001134237,1.0
16,195,799.0,1.880000051,0.200982097,1.0
16,224,415.0,1.320000076,0.079075904,1.0
17,173,844.0,2.440000153,0.757536423,1.0
17,187,385.0,2.440000153,0.713574371,1.0
18,174,1471.552931,1.680000051,0.19065352,1.0
18,186,294.4470694,2.440000153,0.537346127,1.0
19,190,343.0,1.880000051,0.417767308,1.0
19,220,203.0,1.280000051,0.031025125,1.0
20,177,179.2798743,2.160000102,0.149358167,1.0
20,183,9.720125668,2.520000203,0.553373974,1.0
21,182,300.0,0.760000038,0.00910195,0.5564604987409849
21,213,132.0,3.760000102,0.044944567,1.0
22,262,127.0,0.680000051,0.071178282,1.0
23,278,144.0,0.560000038,0.000111552,0.5048372287355081
24,266,252.0,1.120000076,0.087929263,1.0
24,277,125.0,1.120000076,0.023678356,1.0
25,212,876.8180476,0.8,0.028472849,1.0
25,354,92.18195236,2.640000153,0.343688237,1.0
26,260,79.0,0.520000013,0.000433122,1.0
27,285,68.0,1.120000076,0.001340679,1.0
28,225,114.0,1.480000051,0.031242143,1.0
28,238,0.0,1.880000051,0.092751392,1.0
29,230,22.0,0.520000013,0.003210176,1.0
30,240,0.0,1.040000025,0.001068948,1.0
30,245,39.0,3.920000203,1.819199825,1.0
31,237,93.0,3.800000254,0.606441498,1.0
31,239,1515.0,1.640000025,0.134946334,1.0
32,243,76.0,0.520000013,0.010095472,1.0
33,273,338.0,1.120000076,0.001514204,0.8236858641452609
33,274,148.0,1.120000076,0.063839722,1.0
33,294,0.0,0.960000038,0.00684483,1.0
33,295,71.0,1.2,0.039260994,1.0
34,272,329.0,0.840000025,0.033983653,1.0
35,293,207.0,0.560000038,0.000790056,1.0
36,300,562.0,0.6,0.003017013,1.0
37,305,80.0,0.840000025,0.036243593,1.0
38,289,611.307893,2.560000102,0.425964395,1.0
38,336,636.692107,2.960000102,1.211755048,1.0
38,340,473.0,2.560000102,0.115802688,1.0
38,341,233.0,2.960000102,0.055383543,1.0
39,327,460.0,0.560000038,0.009934088,1.0
40,329,446.0,0.6,0.022471361,1.0
41,311,359.0,0.480000019,0.01613094,1.0
42,312,268.0,1.520000076,0.012472745,1.0
42,313,444.0,1.320000076,0.011335562,1.0
43,332,618.0,0.920000013,0.000753197,1.0
44,319,1065.0,1.760000102,0.040161181,1.0
45,339,753.0,1.680000051,0.206488248,1.0
46,321,76.73830457,0.760000038,0.018043808,1.0
46,334,387.2616954,0.760000038,0.009083125,1.0
47,360,354.0,0.4,0.001577124,0.8849982706185018
47,361,375.0,0.4,0.011922292,1.0
47,362,610.0,1.2,0.005197737,1.0
48,376,294.0,0.720000013,0.026683389,1.0
49,447,292.0,0.440000025,0.001999187,1.0
50,378,570.0,1.520000076,0.292630305,1.0
51,377,273.0,1.480000051,0.004903559,1.0
51,382,229.0,1.000000064,0.020856698,1.0
52,383,340.0,1.080000051,3.56e-05,1.0
52,443,179.0,0.920000013,0.016227781,1.0
52,444,294.0,1.4,0.225065451,0.7940687891296377
52,446,5.0,1.360000102,0.004930112,1.0
53,405,138.0,0.840000025,0.072188554,1.0
54,394,144.0561034,1.360000102,0.013238749,1.0
54,400,82.0,0.840000025,0.071283246,1.0
54,404,258.9438966,0.960000038,0.00299657,1.0
55,395,213.0,1.320000076,0.169540916,1.0
55,434,0.0,3.800000254,0.146537405,1.0
55,1035,166.0,1.160000102,0.195075311,1.0
56,393,49.0,1.680000051,0.159213158,1.0
56,435,23.0,3.400000254,0.001719901,1.0
57,406,278.0,0.880000051,0.016772787,1.0
58,407,403.0,0.760000038,0.053048504,1.0
58,432,0.0,5.280000305,1.657661652,0.6018978962793237
58,1035,176.0,1.880000051,0.046543346,1.0
59,412,237.0,0.760000038,0.07685512,1.0
59,413,138.0,0.920000013,0.000736839,1.0
60,481,10.0,0.760000038,1.67e-05,0.727714420110128
61,477,8.0,1.120000076,0.006219936,0.8973786155409821
62,420,195.0,2.280000051,0.340046195,1.0
62,421,1371.0,2.280000051,0.237957476,1.0
63,411,198.0,0.440000025,0.012791915,0.5266311851267234
63,418,0.0,2.280000051,0.046896108,1.0
63,429,128.0,2.280000051,0.129908761,1.0
64,418,51.0,0.760000038,0.039432456,1.0
64,419,16.0,0.760000038,0.029157214,1.0
65,426,390.0,1.000000064,0.149325831,0.7211700708537929
66,453,318.9295683,0.920000013,0.010272796,1.0
66,454,81.07043174,0.760000038,0.088444451,1.0
66,1034,6.0,1.440000025,0.008965128,1.0
67,441,884.0,1.000000064,0.08945923,1.0
68,465,446.0,0.480000019,7.11e-06,1.0
69,456,612.0,0.840000025,0.019033982,1.0
70,468,537.8860933,0.6,0.002665985,1.0
70,473,138.1139067,0.840000025,0.003746774,1.0
71,467,298.0,1.000000064,0.00593498,1.0
71,472,25.0,1.960000102,0.026383829,1.0
72,462,293.0,0.440000025,0.001742115,1.0
73,457,230.0,1.2,0.007438574,1.0
73,464,67.0,1.880000051,0.351880117,1.0
74,483,244.0,1.080000051,0.118656365,1.0
74,500,100.0,1.800000127,0.000459733,1.0
74,501,9.0,1.640000025,0.290691951,1.0
75,503,34.0,1.520000076,0.362598537,1.0
76,485,545.6061748,2.720000203,0.836760898,1.0
76,498,400.3938252,1.720000076,0.015300107,0.5487236628692107
77,493,515.0,1.440000025,0.049154117,1.0
77,507,6.0,1.360000102,0.280686786,1.0
78,504,29.0,1.520000076,0.172616447,0.5100529767699127
79,492,758.0,1.880000051,0.066886998,1.0
80,620,135.0,0.440000025,0.006136305,0.919866875637354
80,621,158.0,0.440000025,0.002968163,1.0
80,652,124.0,0.640000025,0.029716108,1.0
81,628,415.0,1.360000102,0.036804683,1.0
81,629,166.0,1.360000102,0.014953352,1.0
81,657,487.0,1.4,0.15009898,1.0
82,653,386.0,0.480000019,0.011257385,1.0
82,658,150.0,0.920000013,3.19e-07,1.0
83,703,263.0,0.440000025,0.003106208,1.0
84,700,262.0,0.880000051,0.006544129,1.0
84,701,143.0,0.880000051,0.019608523,1.0
84,720,74.0,1.520000076,0.167609171,1.0
84,722,131.0,1.520000076,0.002808865,1.0
85,721,0.0,0.4,0.011694054,1.0
85,732,0.0,0.680000051,0.016872908,1.0
86,770,520.0,0.680000051,0.000521976,1.0
87,771,330.0,0.960000038,0.050160117,1.0
88,777,595.0777054,1.040000025,0.006437026,1.0
88,778,201.9222946,1.360000102,0.147832001,1.0
89,797,247.0,0.760000038,0.03963173,1.0
90,786,349.6841184,1.760000102,0.044157168,1.0
90,788,250.5980381,1.440000025,0.064517705,1.0
90,789,393.7178435,1.440000025,0.01221164,1.0
90,793,0.0,1.760000102,0.046017531,1.0
91,798,234.0,1.880000051,0.131160206,1.0
91,799,740.0,1.720000076,0.046331189,1.0
92,812,1132.188529,1.320000076,0.206037252,1.0
92,814,1159.811471,2.560000102,0.442431384,0.8597379128577658
93,804,0.0,4.520000203,0.606487719,0.940741967836577
